WORD,count,percentage
",",2129,6.2566122017162344
.,1980,5.818737510285647
de,1289,3.7880568943223225
e,933,2.741859644998237
a,863,2.5361467027154108
do,414,1.2166451157869989
é,411,1.2078288468320206
o,406,1.1931350652403903
da,392,1.151992476783825
que,352,1.0344422240507818
em,340,0.9991771482308688
|,296,0.869871870224521
-,293,0.8610556012695428
(,293,0.8610556012695428
um,292,0.8581168449512168
),286,0.8404843070412602
para,276,0.8110967438579993
se,262,0.7699541554014341
uma,256,0.7523216174914776
com,237,0.696485247443282
cidade,233,0.6847302221699777
os,225,0.661220171623369
no,207,0.6083225578934994
A,205,0.6024450452568473
=,205,0.6024450452568473
:,198,0.5818737510285648
mais,189,0.55542494416363
por,187,0.5495474315269777
na,174,0.5113435993887386
as,145,0.42611966615728225
;,134,0.3937933466556953
ao,130,0.38203832138239097
dos,121,0.3555895145174562
são,117,0.34383448924415183
não,117,0.34383448924415183
O,116,0.3408957329258258
ou,103,0.3026919007875867
das,89,0.2615493123310215
como,87,0.2556717996943693
entre,86,0.25273304337604324
tem,86,0.25273304337604324
também,83,0.243916774421065
ser,81,0.23803926178441287
muito,73,0.2145292112378042
mas,72,0.2115904549194781
à,72,0.2115904549194781
Os,63,0.1851416480545433
país,62,0.18220289173621723
centro,62,0.18220289173621723
foi,60,0.17632537909956508
pode,54,0.15869284118960855
parte,53,0.15575408487128248
ilha,52,0.1528153285529564
você,50,0.14693781591630423
São,48,0.14106030327965205
há,45,0.1322440343246738
sua,45,0.1322440343246738
ônibus,45,0.1322440343246738
maior,45,0.1322440343246738
onde,44,0.12930527800634772
está,43,0.12636652168802162
{,43,0.12636652168802162
As,43,0.12636652168802162
até,42,0.12342776536969555
No,38,0.11167274009639121
Em,37,0.10873398377806512
norte,37,0.10873398377806512
região,36,0.10579522745973904
seu,36,0.10579522745973904
bem,36,0.10579522745973904
Coimbra,35,0.10285647114141294
É,35,0.10285647114141294
podem,35,0.10285647114141294
capital,34,0.09991771482308687
grande,34,0.09991771482308687
encontrar,33,0.09697895850476079
pela,32,0.0940402021864347
Alexandria,32,0.0940402021864347
nos,32,0.0940402021864347
Há,32,0.0940402021864347
às,31,0.09110144586810862
melhor,30,0.08816268954978254
fica,30,0.08816268954978254
cerca,30,0.08816268954978254
apenas,30,0.08816268954978254
aeroporto,30,0.08816268954978254
dia,30,0.08816268954978254
autocarros,29,0.08522393323145645
estão,29,0.08522393323145645
ilhas,29,0.08522393323145645
Vegas,29,0.08522393323145645
sul,29,0.08522393323145645
durante,28,0.08228517691313036
alguns,28,0.08228517691313036
muitas,28,0.08228517691313036
área,28,0.08228517691313036
desde,28,0.08228517691313036
Paulo,28,0.08228517691313036
lojas,27,0.07934642059480428
muitos,27,0.07934642059480428
cidades,27,0.07934642059480428
%,27,0.07934642059480428
ainda,27,0.07934642059480428
todos,27,0.07934642059480428
Se,27,0.07934642059480428
preço,27,0.07934642059480428
principal,27,0.07934642059480428
local,27,0.07934642059480428
restaurantes,26,0.0764076642764782
grandes,26,0.0764076642764782
viagem,25,0.07346890795815211
Albufeira,25,0.07346890795815211
Não,25,0.07346890795815211
horas,25,0.07346890795815211
locais,25,0.07346890795815211
vários,25,0.07346890795815211
entanto,25,0.07346890795815211
hotéis,25,0.07346890795815211
sendo,25,0.07346890795815211
mesmo,24,0.07053015163982602
chegar,24,0.07053015163982602
outras,23,0.06759139532149995
nas,23,0.06759139532149995
toda,22,0.06465263900317386
nome,22,0.06465263900317386
°,22,0.06465263900317386
Alasca,22,0.06465263900317386
C,22,0.06465263900317386
algumas,22,0.06465263900317386
km,22,0.06465263900317386
anos,22,0.06465263900317386
pelo,21,0.06171388268484777
dados,21,0.06171388268484777
Portugal,21,0.06171388268484777
possível,21,0.06171388268484777
vezes,21,0.06171388268484777
século,20,0.05877512636652169
este,20,0.05877512636652169
principais,20,0.05877512636652169
ver,20,0.05877512636652169
duas,20,0.05877512636652169
Guia,20,0.05877512636652169
pois,20,0.05877512636652169
voos,20,0.05877512636652169
outros,20,0.05877512636652169
principalmente,20,0.05877512636652169
Anchorage,20,0.05877512636652169
seus,19,0.055836370048195604
ruas,19,0.055836370048195604
of,19,0.055836370048195604
várias,19,0.055836370048195604
Norte,19,0.055836370048195604
turistas,19,0.055836370048195604
/,19,0.055836370048195604
Para,19,0.055836370048195604
isso,19,0.055836370048195604
noite,18,0.05289761372986952
pouco,18,0.05289761372986952
!,18,0.05289761372986952
suas,18,0.05289761372986952
dias,18,0.05289761372986952
aos,18,0.05289761372986952
Amarante,18,0.05289761372986952
já,18,0.05289761372986952
além,18,0.05289761372986952
transporte,18,0.05289761372986952
táxi,18,0.05289761372986952
Brasil,17,0.049958857411543434
ponto,17,0.049958857411543434
carro,17,0.049958857411543434
dois,17,0.049958857411543434
Las,17,0.049958857411543434
5,17,0.049958857411543434
ano,17,0.049958857411543434
Existem,17,0.049958857411543434
possui,17,0.049958857411543434
rua,17,0.049958857411543434
conversação,17,0.049958857411543434
embora,17,0.049958857411543434
qualquer,17,0.049958857411543434
pessoas,17,0.049958857411543434
China,16,0.04702010109321735
costa,16,0.04702010109321735
três,16,0.04702010109321735
maioria,16,0.04702010109321735
só,16,0.04702010109321735
estado,16,0.04702010109321735
/&gt,16,0.04702010109321735
mundo,16,0.04702010109321735
forma,16,0.04702010109321735
Corumbá,16,0.04702010109321735
vai,16,0.04702010109321735
lugar,16,0.04702010109321735
tempo,16,0.04702010109321735
estação,16,0.04702010109321735
todas,16,0.04702010109321735
rio,15,0.04408134477489127
habitantes,15,0.04408134477489127
estrada,15,0.04408134477489127
Central,15,0.04408134477489127
sem,15,0.04408134477489127
pequena,15,0.04408134477489127
antes,15,0.04408134477489127
sempre,15,0.04408134477489127
eles,15,0.04408134477489127
partir,15,0.04408134477489127
cada,15,0.04408134477489127
pelos,15,0.04408134477489127
Cubatão,15,0.04408134477489127
ir,15,0.04408134477489127
junto,15,0.04408134477489127
Chipre,15,0.04408134477489127
fronteira,15,0.04408134477489127
Khabarovsk,15,0.04408134477489127
File,14,0.04114258845656518
10,14,0.04114258845656518
internacionais,14,0.04114258845656518
devido,14,0.04114258845656518
#,14,0.04114258845656518
boa,14,0.04114258845656518
meio,14,0.04114258845656518
regiões,14,0.04114258845656518
opções,14,0.04114258845656518
pelas,14,0.04114258845656518
Sul,14,0.04114258845656518
